2024-01-05 20:24:43.409 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-01-05 20:24:43.575 [main] INFO  c.h.h.HighteequeenBackendApplication - Starting HighteequeenBackendApplication using Java 19.0.2 with PID 17324 (E:\Nam 4\Web\highteequeen\Backend\target\classes started by win in E:\Nam 4\Web\highteequeen\Backend)
2024-01-05 20:24:43.578 [main] INFO  c.h.h.HighteequeenBackendApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-05 20:24:47.422 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-01-05 20:24:47.575 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 137 ms. Found 11 JPA repository interfaces.
2024-01-05 20:24:49.196 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-01-05 20:24:49.209 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-01-05 20:24:49.213 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-01-05 20:24:49.213 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-01-05 20:24:49.349 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-05 20:24:49.351 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5689 ms
2024-01-05 20:24:49.627 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-01-05 20:24:49.781 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
2024-01-05 20:24:49.785 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-01-05 20:24:50.115 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-01-05 20:24:50.528 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-01-05 20:24:50.596 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-01-05 20:24:51.138 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4e7eba9f
2024-01-05 20:24:51.142 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-01-05 20:24:51.362 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-01-05 20:24:52.244 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-01-05 20:24:53.931 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-01-05 20:24:54.965 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-01-05 20:24:55.586 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-01-05 20:24:56.971 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-01-05 20:25:01.891 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@57a4ca74, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@167fdc7d, org.springframework.security.web.context.SecurityContextHolderFilter@7e634ead, org.springframework.security.web.header.HeaderWriterFilter@37b48520, org.springframework.security.web.authentication.logout.LogoutFilter@5e39a9ba, com.highteequeen.highteequeen_backend.filters.JwtTokenFilter@f11fad9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@60729135, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@75e1a63e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@63802a5d, org.springframework.security.web.access.ExceptionTranslationFilter@7d8dd3f5, org.springframework.security.web.access.intercept.AuthorizationFilter@2b6d4eeb]
2024-01-05 20:25:01.923 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - 

********************************************************************
**********        Security debugging is enabled.       *************
**********    This may include sensitive information.  *************
**********      Do not use in a production system!     *************
********************************************************************


2024-01-05 20:25:03.088 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-01-05 20:25:03.141 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-01-05 20:25:03.155 [main] INFO  c.h.h.HighteequeenBackendApplication - Started HighteequeenBackendApplication in 20.757 seconds (process running for 25.178)
